LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
Australia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,217.4480,
Australia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,223.7090,
Australia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,209.1010,
Australia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,198.2050,
Australia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,193.4080,
Australia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,192.0340,
Australia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,181.9390,
Australia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,187.0890,
Austria,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,399.8240,
Austria,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,400.9840,
Austria,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,381.3140,
Austria,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,375.0040,
Austria,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,363.3220,
Austria,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,369.1200,
Austria,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,351.2460,
Austria,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,351.4020,
Belgium,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,456.8480,
Belgium,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,450.8670,
Belgium,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,437.7910,
Belgium,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,421.1300,
Belgium,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,391.0970,
Belgium,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,403.5360,
Belgium,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,384.1020,
Belgium,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,386.6130,
Canada,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,229.8790,
Canada,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,230.2490,
Canada,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,220.5210,
Canada,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,209.4960,
Canada,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,205.9240,
Canada,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,201.7920,
Canada,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,182.5720,
Canada,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,180.7050,
Czech Republic,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,593.6980,
Czech Republic,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,593.4670,
Czech Republic,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,580.3730,
Czech Republic,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,574.8300,
Czech Republic,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,556.9210,
Czech Republic,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,571.9750,
Czech Republic,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,552.5300,
Czech Republic,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,553.6090,
Denmark,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,419.5850,
Denmark,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,418.2600,
Denmark,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,379.5630,
Denmark,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,369.3740,
Denmark,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,366.5160,
Denmark,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,357.2870,
Denmark,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,351.3860,
Denmark,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,357.3970,
Finland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,239.6170,
