LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
Australia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,10.53559,
Australia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,10.88267,
Australia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,10.40148,
Australia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,9.84329,
Australia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,9.36117,
Australia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,9.20277,
Australia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,8.53581,
Australia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,8.52437,
Austria,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,15.36477,
Austria,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,15.67401,
Austria,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,14.50341,
Austria,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,14.28511,
Austria,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,13.53498,
Austria,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,13.59913,
Austria,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,12.65744,
Austria,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,12.68774,
Belgium,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,16.22427,
Belgium,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,16.01357,
Belgium,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,14.93425,
Belgium,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,14.29062,
Belgium,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,13.44477,
Belgium,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,13.79065,
Belgium,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,13.06322,
Belgium,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,13.09935,
Canada,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,8.37601,
Canada,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,8.57013,
Canada,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,8.10123,
Canada,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,7.75003,
Canada,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,7.30653,
Canada,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,7.17206,
Canada,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,6.48028,
Canada,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,6.45931,
Czech Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2010,20.77924,
Czech Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2011,20.2512,
Czech Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2012,18.79705,
Czech Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2013,18.31878,
Czech Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2014,17.53825,
Czech Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2015,17.64812,
Czech Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2016,16.21703,
Czech Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,2017,16.21481,
